C	score	target_system	training_systems
0.001	0.7102	RIKEN	RIKEN
0.01	0.7102	RIKEN	RIKEN
0.1	0.7864	RIKEN	RIKEN
1	0.8	RIKEN	RIKEN
10	0.8102	RIKEN	RIKEN
100	0.7915	RIKEN	RIKEN
1000	0.7169	RIKEN	RIKEN
0.001	0.7254	RIKEN	RIKEN
0.01	0.7254	RIKEN	RIKEN
0.1	0.8051	RIKEN	RIKEN
1	0.8119	RIKEN	RIKEN
10	0.8169	RIKEN	RIKEN
100	0.7847	RIKEN	RIKEN
1000	0.7237	RIKEN	RIKEN
0.001	0.7173	RIKEN	RIKEN
0.01	0.7173	RIKEN	RIKEN
0.1	0.8133	RIKEN	RIKEN
1	0.8307	RIKEN	RIKEN
10	0.8325	RIKEN	RIKEN
100	0.7888	RIKEN	RIKEN
1000	0.726	RIKEN	RIKEN
0.001	0.7016	RIKEN	RIKEN
0.01	0.7016	RIKEN	RIKEN
0.1	0.7952	RIKEN	RIKEN
1	0.8177	RIKEN	RIKEN
10	0.8129	RIKEN	RIKEN
100	0.7823	RIKEN	RIKEN
1000	0.7048	RIKEN	RIKEN
0.001	0.7358	RIKEN	RIKEN
0.01	0.7358	RIKEN	RIKEN
0.1	0.8144	RIKEN	RIKEN
1	0.8378	RIKEN	RIKEN
10	0.8445	RIKEN	RIKEN
100	0.801	RIKEN	RIKEN
1000	0.7375	RIKEN	RIKEN
0.001	0.7171	RIKEN	RIKEN
0.01	0.7171	RIKEN	RIKEN
0.1	0.7895	RIKEN	RIKEN
1	0.7878	RIKEN	RIKEN
10	0.801	RIKEN	RIKEN
100	0.773	RIKEN	RIKEN
1000	0.7253	RIKEN	RIKEN
0.001	0.6759	RIKEN	RIKEN
0.01	0.6759	RIKEN	RIKEN
0.1	0.7872	RIKEN	RIKEN
1	0.8134	RIKEN	RIKEN
10	0.8167	RIKEN	RIKEN
100	0.7823	RIKEN	RIKEN
1000	0.6809	RIKEN	RIKEN
0.001	0.7356	RIKEN	RIKEN
0.01	0.7356	RIKEN	RIKEN
0.1	0.8237	RIKEN	RIKEN
1	0.8458	RIKEN	RIKEN
10	0.8424	RIKEN	RIKEN
100	0.8169	RIKEN	RIKEN
1000	0.7373	RIKEN	RIKEN
0.001	0.7139	RIKEN	RIKEN
0.01	0.7139	RIKEN	RIKEN
0.1	0.7826	RIKEN	RIKEN
1	0.7931	RIKEN	RIKEN
10	0.7949	RIKEN	RIKEN
100	0.765	RIKEN	RIKEN
1000	0.7174	RIKEN	RIKEN
0.001	0.6875	RIKEN	RIKEN
0.01	0.6875	RIKEN	RIKEN
0.1	0.7967	RIKEN	RIKEN
1	0.809	RIKEN	RIKEN
10	0.8072	RIKEN	RIKEN
100	0.772	RIKEN	RIKEN
1000	0.6998	RIKEN	RIKEN
0.001	0.7096	RIKEN	RIKEN
0.01	0.7096	RIKEN	RIKEN
0.1	0.8233	RIKEN	RIKEN
1	0.8215	RIKEN	RIKEN
10	0.8233	RIKEN	RIKEN
100	0.8091	RIKEN	RIKEN
1000	0.7274	RIKEN	RIKEN
0.001	0.7205	RIKEN	RIKEN
0.01	0.7205	RIKEN	RIKEN
0.1	0.8103	RIKEN	RIKEN
1	0.8236	RIKEN	RIKEN
10	0.817	RIKEN	RIKEN
100	0.8087	RIKEN	RIKEN
1000	0.7304	RIKEN	RIKEN
0.001	0.6808	RIKEN	RIKEN
0.01	0.6808	RIKEN	RIKEN
0.1	0.7848	RIKEN	RIKEN
1	0.7901	RIKEN	RIKEN
10	0.7866	RIKEN	RIKEN
100	0.7866	RIKEN	RIKEN
