C	score	target_system	training_systems
0.1000	0.7406	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7755	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7675	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7622	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6585	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6448	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6448	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7543	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7777	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7727	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7747	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6828	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6223	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6223	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7451	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7709	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7683	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7665	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6581	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6334	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6334	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7494	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7832	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7755	Eawag_XBridgeC18	Eawag_XBridgeC18
