target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
UFZ_Phenomenex	UFZ_Phenomenex	5	64	0.8703	0.0192	0.8696	0.0192
UFZ_Phenomenex	UFZ_Phenomenex	5	Inf	0.8703	0.0192	0.8696	0.0192
UFZ_Phenomenex	UFZ_Phenomenex	7	8	0.8464	0.0401	0.8458	0.0402
UFZ_Phenomenex	UFZ_Phenomenex	7	16	0.9038	0.02	0.9035	0.02
UFZ_Phenomenex	UFZ_Phenomenex	7	32	0.9055	0.0197	0.9051	0.0196
UFZ_Phenomenex	UFZ_Phenomenex	7	64	0.9055	0.0197	0.9051	0.0196
UFZ_Phenomenex	UFZ_Phenomenex	7	Inf	0.9055	0.0197	0.9051	0.0196
UFZ_Phenomenex	UFZ_Phenomenex	9	16	0.9315	0.0125	0.9314	0.012
UFZ_Phenomenex	UFZ_Phenomenex	9	32	0.933	0.0124	0.9328	0.0115
UFZ_Phenomenex	UFZ_Phenomenex	9	64	0.933	0.0124	0.9328	0.0115
UFZ_Phenomenex	UFZ_Phenomenex	9	Inf	0.933	0.0124	0.9328	0.0115
UFZ_Phenomenex	UFZ_Phenomenex	11	16	0.9506	0.0113	0.9514	0.0106
UFZ_Phenomenex	UFZ_Phenomenex	11	32	0.9518	0.0112	0.9527	0.0101
UFZ_Phenomenex	UFZ_Phenomenex	11	64	0.9518	0.0112	0.9527	0.0101
UFZ_Phenomenex	UFZ_Phenomenex	11	Inf	0.9518	0.0112	0.9527	0.0101
UFZ_Phenomenex	UFZ_Phenomenex	13	16	0.9699	0.0157	0.9708	0.0135
UFZ_Phenomenex	UFZ_Phenomenex	13	32	0.9702	0.0164	0.971	0.0134
UFZ_Phenomenex	UFZ_Phenomenex	13	64	0.9702	0.0164	0.971	0.0134
UFZ_Phenomenex	UFZ_Phenomenex	13	Inf	0.9702	0.0164	0.971	0.0134
LIFE_old	LIFE_old	0	1	0.6379	0.0203	0.6382	0.0205
LIFE_old	LIFE_old	0	2	0.6832	0.0199	0.6834	0.0198
LIFE_old	LIFE_old	0	4	0.7528	0.0169	0.7528	0.0166
LIFE_old	LIFE_old	0	8	0.8226	0.0121	0.8225	0.0118
LIFE_old	LIFE_old	0	16	0.842	0.0119	0.8417	0.0117
LIFE_old	LIFE_old	0	32	0.842	0.0119	0.8417	0.0117
LIFE_old	LIFE_old	0	64	0.842	0.0119	0.8417	0.0117
LIFE_old	LIFE_old	0	Inf	0.842	0.0119	0.8417	0.0117
LIFE_old	LIFE_old	1	1	0.6379	0.0203	0.6382	0.0205
LIFE_old	LIFE_old	1	2	0.6832	0.0199	0.6834	0.0198
LIFE_old	LIFE_old	1	4	0.7528	0.0169	0.7528	0.0166
LIFE_old	LIFE_old	1	8	0.8226	0.0121	0.8225	0.0118
LIFE_old	LIFE_old	1	16	0.842	0.0119	0.8417	0.0117
LIFE_old	LIFE_old	1	32	0.842	0.0119	0.8417	0.0117
LIFE_old	LIFE_old	1	64	0.842	0.0119	0.8417	0.0117
LIFE_old	LIFE_old	1	Inf	0.842	0.0119	0.8417	0.0117
LIFE_old	LIFE_old	3	4	0.8375	0.0198	0.8375	0.0195
LIFE_old	LIFE_old	3	8	0.8949	0.0123	0.8947	0.0119
LIFE_old	LIFE_old	3	16	0.9105	0.0118	0.9101	0.0116
LIFE_old	LIFE_old	3	32	0.9105	0.0118	0.9101	0.0116
LIFE_old	LIFE_old	3	64	0.9105	0.0118	0.9101	0.0116
LIFE_old	LIFE_old	3	Inf	0.9105	0.0118	0.9101	0.0116
LIFE_old	LIFE_old	5	8	0.9375	0.0149	0.9372	0.0147
LIFE_old	LIFE_old	5	16	0.9506	0.0131	0.9501	0.0132
LIFE_old	LIFE_old	5	32	0.9506	0.0131	0.9501	0.0132
LIFE_old	LIFE_old	5	64	0.9506	0.0131	0.9501	0.0132
LIFE_old	LIFE_old	5	Inf	0.9506	0.0131	0.9501	0.0132
LIFE_old	LIFE_old	7	8	0.9606	0.021	0.9609	0.0215
LIFE_old	LIFE_old	7	16	0.9729	0.0159	0.9729	0.0166
LIFE_old	LIFE_old	7	32	0.9729	0.0159	0.9729	0.0166
LIFE_old	LIFE_old	7	64	0.9729	0.0159	0.9729	0.0166
LIFE_old	LIFE_old	7	Inf	0.9729	0.0159	0.9729	0.0166
LIFE_old	LIFE_old	9	16	0.9875	0.0146	0.987	0.0152
LIFE_old	LIFE_old	9	32	0.9875	0.0146	0.987	0.0152
LIFE_old	LIFE_old	9	64	0.9875	0.0146	0.987	0.0152
LIFE_old	LIFE_old	9	Inf	0.9875	0.0146	0.987	0.0152
LIFE_old	LIFE_old	11	16	1	0	1	0
LIFE_old	LIFE_old	11	32	1	0	1	0
LIFE_old	LIFE_old	11	64	1	0	1	0
LIFE_old	LIFE_old	11	Inf	1	0	1	0
LIFE_old	LIFE_old	13	16	NA	NA	0	0
LIFE_old	LIFE_old	13	32	NA	NA	0	0
LIFE_old	LIFE_old	13	64	NA	NA	0	0
LIFE_old	LIFE_old	13	Inf	NA	NA	0	0
