C	score	target_system	training_systems
1000.0000	0.6724	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6418	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6418	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7299	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7825	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7754	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7612	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6567	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6652	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6652	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7370	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7775	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7655	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7448	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6795	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6436	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6436	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7294	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7951	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7922	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7778	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6595	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6553	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6553	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7305	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7825	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7775	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7464	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6763	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6683	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6683	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7438	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7893	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7822	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7786	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6861	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6712	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6712	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7546	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.8010	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.8024	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7860	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6883	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6565	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6565	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7306	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7833	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7847	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7527	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6657	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6456	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6456	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7317	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7744	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7737	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7601	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6648	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6645	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6645	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7429	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7849	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7885	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7714	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6709	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6586	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6586	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7313	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7776	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7798	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7591	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6686	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6676	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6676	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7302	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7936	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7929	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7701	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6747	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6607	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6607	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7249	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7812	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7762	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7584	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6750	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6647	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6647	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7417	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7914	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7921	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7712	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6755	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6597	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6597	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7449	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7767	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7695	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7746	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6785	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6638	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6638	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7725	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.8047	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.8026	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7761	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6810	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6619	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6619	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7183	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7675	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7682	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7425	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6719	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6783	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6783	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7436	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7777	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7791	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7642	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6932	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6550	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6550	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7349	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7919	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7826	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7691	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6736	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6861	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6861	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7665	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.8199	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.8164	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.8043	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.7011	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6591	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6591	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7304	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7874	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7903	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7611	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6755	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6579	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6579	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7169	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7774	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7752	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7596	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6693	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6800	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6800	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7557	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7957	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7957	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7757	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6900	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6655	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6655	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7480	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.8038	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7951	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7690	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6792	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6358	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6358	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7218	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7955	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7926	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7688	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6568	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6809	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6809	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7264	UFZ_Phenomenex	UFZ_Phenomenex
