id,rank,mol_id,cand_num
LNEPOXFFQSENCJ-UHFFFAOYSA-N,1,CCMSLIB00000078346,45
JBIMVDZLSHOPLA-LSCVHKIXSA-N,20,CCMSLIB00000084932,3056
ZKLPARSLTMPFCP-OAQYLSRUSA-N,1,CCMSLIB00000077127,1627
XOFYZVNMUHMLCC-ZPOLXVRWSA-N,7,CCMSLIB00000076993,824
RJKFOVLPORLFTN-LEKSSAKUSA-N,136,CCMSLIB00000084845,920
OMFXVFTZEKFJBZ-HJTSIMOOSA-N,25,CCMSLIB00000079072,917
RMEDXOLNCUSCGS-UHFFFAOYSA-N,1,CCMSLIB00000079127,1404
IAKHMKGGTNLKSZ-INIZCTEOSA-N,3,CCMSLIB00000085238,1669
UREBDLICKHMUKA-CXSFZGCWSA-N,1,CCMSLIB00000004677,75
VHRSUDSXCMQTMA-PJHHCJLFSA-N,1,CCMSLIB00000078262,591
HTQMVQVXFRQIKW-UHFFFAOYSA-N,1,CCMSLIB00000078190,356
FJLGEFLZQAZZCD-MCBHFWOFSA-N,14,CCMSLIB00000077106,162
ACWBQPMHZXGDFX-QFIPXVFZSA-N,231,CCMSLIB00000005787,2170
AKUJBENLRBOFTD-QZIXMDIESA-N,1,CCMSLIB00000085431,53
PCZOHLXUXFIOCF-BXMDZJJMSA-N,1,CCMSLIB00000077134,456
GCFBRXLSHGKWDP-WJONJSRFSA-N,2,CCMSLIB00000078200,2
YOSHYTLCDANDAN-UHFFFAOYSA-N,709,CCMSLIB00000005547,763
RYMZZMVNJRMUDD-HGQWONQESA-N,11,CCMSLIB00000005802,361
FAEKWTJYAYMJKF-QHCPKHFHSA-N,12,CCMSLIB00000085518,928
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,2,CCMSLIB00000078211,93
SGTNSNPWRIOYBX-UHFFFAOYSA-N,1,CCMSLIB00000085882,691
UURAUHCOJAIIRQ-QGLSALSOSA-N,1,CCMSLIB00000086065,17
ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,11,CCMSLIB00000078444,52
RMMXLENWKUUMAY-UHFFFAOYSA-N,40,CCMSLIB00000085355,123
NCDNCNXCDXHOMX-XGKFQTDJSA-N,15,CCMSLIB00000005594,22
ULGZDMOVFRHVEP-RWJQBGPGSA-N,4,CCMSLIB00000006292,25
AXRYRYVKAWYZBR-GASGPIRDSA-N,50,CCMSLIB00000078153,159
AGOYDEPGAOXOCK-KCBOHYOISA-N,4,CCMSLIB00000004872,23
MQTOSJVFKKJCRP-BICOPXKESA-N,4,CCMSLIB00000077129,16
MQTOSJVFKKJCRP-OHJWJPDZSA-N,4,CCMSLIB00000077129,16
NZCRJKRKKOLAOJ-XRCRFVBUSA-N,2,CCMSLIB00000005103,9
WBPYTXDJUQJLPQ-VMXQISHHSA-N,3,CCMSLIB00000078593,5
MCWXGJITAZMZEV-UHFFFAOYSA-N,2,CCMSLIB00000085896,11
YEDUAINPPJYDJZ-UHFFFAOYSA-N,19,CCMSLIB00000080353,151
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,3,CCMSLIB00000085282,423
UTBVIMLZIRIFFR-UHFFFAOYSA-N,4,CCMSLIB00000080271,79
YWTYJOPNNQFBPC-UHFFFAOYSA-N,3,CCMSLIB00000085129,77
VACCAVUAMIDAGB-UHFFFAOYSA-N,1,CCMSLIB00000086149,227
UGJMXCAKCUNAIE-UHFFFAOYSA-N,132,CCMSLIB00000078453,3333
PYZRQGJRPPTADH-UHFFFAOYSA-N,16,CCMSLIB00000078542,43
JNMRHUJNCSQMMB-UHFFFAOYSA-N,1,CCMSLIB00000078578,217
