C	target_system	training_systems
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	RIKEN
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
100	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
1	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
10	Eawag_XBridgeC18	UFZ_Phenomenex
